Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Final Blows / 10min,Solo Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Scoped Crits,Recon Assists / 10min,Venom Mine Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Helix Rocket Accuracy, %",Long Range Kills / 10min,Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,Storm Arrow Kills / 10min,Dragonstrike Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Self Healing / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Rip Tire Kills,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills / 10min,Terra Surge Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Airtime, %",Barrage Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,"Pummel Accuracy, %",Pummel Kills / 10min,Ravenous Vortex Kills / 10min,Annihilation Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,Minefield Kills,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Kiriko,Diamond,5.46,3.02,49.13,9.18,3.80,65,2668,8069,5.67,,,,,,,,,30,15,9.11,4.41,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Master,5.37,2.67,48.86,9.07,3.76,65,2641,8010,5.72,,,,,,,,,30,15,9.00,4.36,18.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Grandmaster,5.29,2.52,48.88,9.02,3.74,65,2629,7951,5.76,,,,,,,,,30,14,8.95,4.32,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Genji,All,2.68,5.01,47.76,18.45,5.53,56,7002,,8.33,,,,,,,,,28,,,,,10.12,2.33,16.04,1562.47,0.03,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Bronze,2.39,3.73,47.88,16.81,5.31,57,6354,,8.51,,,,,,,,,27,,,,,8.89,2.18,13.82,1502.37,0.03,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Silver,2.46,3.67,47.52,17.11,5.40,57,6468,,8.45,,,,,,,,,27,,,,,9.09,2.18,14.15,1519.76,0.04,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Gold,2.56,4.01,47.69,17.91,5.49,56,6783,,8.39,,,,,,,,,28,,,,,9.67,2.28,15.39,1553.91,0.03,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Platinum,2.67,4.98,47.91,18.51,5.53,55,6999,,8.33,,,,,,,,,28,,,,,10.13,2.37,16.23,1570.65,0.03,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Diamond,2.65,5.67,48.11,18.61,5.50,55,7036,,8.35,,,,,,,,,28,,,,,10.23,2.39,16.35,1573.73,0.03,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Master,2.61,5.38,48.51,18.37,5.46,55,6917,,8.38,,,,,,,,,28,,,,,10.06,2.39,16.01,1565.48,0.03,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Grandmaster,2.58,5.06,48.80,18.11,5.41,55,6817,,8.42,,,,,,,,,28,,,,,9.87,2.37,15.66,1557.07,0.03,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,All,2.81,4.54,45.91,18.41,6.35,44,7627,,8.48,,,,,,,,,41,8,,,,11.20,2.57,,,,,2.31,57.98,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Bronze,2.52,3.60,45.76,17.18,6.13,45,7053,,8.61,,,,,,,,,39,7,,,,10.32,2.45,,,,,2.23,55.75,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Silver,2.59,3.57,45.66,17.39,6.23,46,7133,,8.55,,,,,,,,,40,7,,,,10.45,2.46,,,,,2.26,56.28,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Gold,2.71,3.89,45.95,18.05,6.31,44,7431,,8.52,,,,,,,,,41,8,,,,10.90,2.54,,,,,2.30,57.51,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Platinum,2.79,4.62,46.23,18.50,6.32,43,7643,,8.48,,,,,,,,,41,8,,,,11.24,2.60,,,,,2.30,58.03,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Diamond,2.77,4.89,45.97,18.55,6.30,43,7675,,8.51,,,,,,,,,41,8,,,,11.29,2.62,,,,,2.30,57.82,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Master,2.72,4.93,46.44,18.36,6.24,43,7575,,8.53,,,,,,,,,41,8,,,,11.16,2.60,,,,,2.28,57.38,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Grandmaster,2.70,4.58,46.41,18.21,6.21,43,7498,,8.55,,,,,,,,,41,8,,,,11.05,2.58,,,,,2.27,57.05,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Moira,All,6.51,3.87,50.83,19.65,8.72,75,5370,8219,6.46,,,,,,,,,,,,,,,,,,,,,,,49,9.43,40,66,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Bronze,6.06,4.08,50.70,18.91,8.62,76,5151,7806,6.66,,,,,,,,,,,,,,,,,,,,,,,47,9.03,40,65,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Silver,6.19,3.89,50.94,19.22,8.73,76,5234,7954,6.60,,,,,,,,,,,,,,,,,,,,,,,48,9.16,41,66,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Gold,6.48,3.79,50.96,19.54,8.76,76,5301,8232,6.47,,,,,,,,,,,,,,,,,,,,,,,49,9.23,41,65,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Platinum,6.48,4.27,51.05,19.59,8.72,75,5315,8291,6.45,,,,,,,,,,,,,,,,,,,,,,,49,9.27,41,65,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Diamond,6.35,4.49,50.91,19.44,8.69,74,5272,8221,6.49,,,,,,,,,,,,,,,,,,,,,,,49,9.19,41,65,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Master,6.23,4.45,50.99,19.33,8.67,75,5243,8143,6.53,,,,,,,,,,,,,,,,,,,,,,,48,9.10,41,65,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Grandmaster,6.20,4.42,51.06,19.29,8.67,75,5236,8088,6.55,,,,,,,,,,,,,,,,,,,,,,,48,9.09,41,65,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Reinhardt,All,3.50,4.04,52.20,15.91,5.65,95,6957,,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3.46,5.41,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Bronze,3.23,3.94,52.18,15.04,5.52,97,6477,,8.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,3.34,4.85,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Silver,3.33,3.86,52.17,15.32,5.62,97,6614,,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,3.40,4.99,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Gold,3.45,4.13,52.25,15.65,5.64,96,6806,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.39,5.27,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Platinum,3.46,4.57,52.46,15.81,5.61,94,6906,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3.39,5.42,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Diamond,3.39,4.67,52.49,15.66,5.57,94,6823,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.37,5.33,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Master,3.33,4.67,52.61,15.52,5.54,95,6738,,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.35,5.23,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Grandmaster,3.30,4.60,52.65,15.41,5.54,95,6672,,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.34,5.16,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Widowmaker,All,2.81,4.14,45.17,15.44,3.70,15,5592,,7.50,44,,,,,,,,,,,,,10.33,4.19,,,,,,,,,,,,,,,,,—,3.73,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Bronze,2.60,3.43,45.14,14.17,3.58,15,5177,,7.44,44,,,,,,,,,,,,,9.24,3.77,,,,,,,,,,,,,,,,,—,3.47,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Silver,2.68,3.34,45.12,14.50,3.63,15,5288,,7.41,44,,,,,,,,,,,,,9.50,3.86,,,,,,,,,,,,,,,,,—,3.54,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
