Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Final Blows / 10min,Solo Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Ultimates Reflected,Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Scoped Crits,Recon Assists / 10min,Venom Mine Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Helix Rocket Accuracy, %",Long Range Kills / 10min,Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,Storm Arrow Kills / 10min,Dragonstrike Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Self Healing / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Rip Tire Kills,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills,Terra Surge Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Airtime, %",Barrage Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,Self Healing,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,Minefield Kills,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Mercy,Silver,3.17,6.93,46.14,1.94,0.92,59,318,8864,7.44,,,,,,1.92,728.57,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Gold,3.17,6.61,45.94,1.90,0.84,56,287,8914,7.42,,,,,,1.87,745.83,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Platinum,3.22,7.44,47.41,1.77,0.83,58,288,9032,7.38,,,,,,1.75,737.54,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Diamond,3.16,12.88,50.08,1.78,0.82,59,292,8986,7.37,,,,,,1.76,752.39,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Master,3.17,14.62,49.77,1.75,0.80,58,296,9014,7.35,,,,,,1.73,749.94,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Grandmaster,3.07,8.38,44.24,1.83,0.88,60,298,8999,7.49,,,,,,1.82,703.30,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,All,4.51,6.92,50.11,7.59,3.50,73,2144,8244,6.44,,,,,,,,,28,15,7.53,3.29,19.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Bronze,4.26,6.22,47.67,7.08,3.52,73,2027,7721,6.89,,,,,,,,,28,14,7.05,3.34,17.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Silver,4.38,6.58,46.77,7.18,3.45,75,2057,7997,6.65,,,,,,,,,28,15,7.14,3.22,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Gold,4.53,7.34,49.76,7.51,3.44,71,2095,8217,6.46,,,,,,,,,28,15,7.47,3.40,18.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Platinum,4.50,6.38,50.18,7.22,3.36,72,2026,7982,6.64,,,,,,,,,28,14,7.18,3.61,18.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Diamond,4.45,5.42,46.44,7.09,3.35,72,2007,8020,6.63,,,,,,,,,28,14,7.05,3.48,18.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Master,4.31,5.52,46.06,6.94,3.30,71,1977,7966,6.73,,,,,,,,,28,14,6.90,3.32,17.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Grandmaster,4.35,5.90,45.98,6.97,3.36,72,1976,7853,6.78,,,,,,,,,28,14,6.93,3.45,17.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Genji,All,2.38,3.92,55.82,17.74,5.57,65,7132,,8.43,,,,,,,,,26,,,,,9.76,1.75,15.04,1669.69,0.08,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Bronze,2.14,1.74,50.13,15.94,5.50,67,6714,,8.72,,,,,,,,,25,,,,,8.91,1.96,13.64,1607.57,,3.05,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Silver,2.21,1.83,56.96,16.52,5.48,68,6942,,8.55,,,,,,,,,26,,,,,9.22,1.88,13.57,1698.01,0.17,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Gold,2.28,4.59,56.05,16.92,5.64,64,6914,,8.59,,,,,,,,,26,,,,,9.36,1.91,14.38,1608.82,0.04,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Platinum,2.24,3.18,53.98,16.92,5.52,65,7000,,8.68,,,,,,,,,26,,,,,9.48,1.99,14.57,1586.84,0.05,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Diamond,2.23,2.31,54.49,16.91,5.46,65,7014,,8.66,,,,,,,,,26,,,,,9.48,1.87,14.74,1688.49,0.13,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Master,2.19,2.82,52.62,16.22,5.47,66,6880,,8.62,,,,,,,,,25,,,,,9.03,1.96,14.05,1597.26,0.09,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Grandmaster,2.14,1.89,52.59,16.02,5.49,66,6802,,8.74,,,,,,,,,25,,,,,9.00,2.03,13.71,1612.61,,3.08,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,All,2.48,2.49,49.91,18.26,7.08,57,7847,,8.51,,,,,,,,,39,9,,,,11.12,2.18,,,,,,2.27,52.36,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Bronze,2.35,1.07,37.43,17.08,7.07,64,7515,,9.20,,,,,,,,,37,9,,,,10.62,2.38,,,,,,2.32,49.87,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Silver,2.28,1.44,40.30,16.99,6.89,60,7297,,9.18,,,,,,,,,38,9,,,,10.41,2.38,,,,,,2.44,50.92,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Gold,2.44,2.83,48.56,18.13,7.30,61,7751,,8.61,,,,,,,,,39,9,,,,11.18,2.21,,,,,,2.27,51.78,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Platinum,2.49,2.59,50.93,17.95,7.15,64,7806,,8.79,,,,,,,,,38,9,,,,10.99,2.26,,,,,,2.26,51.98,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Diamond,2.47,2.01,41.14,17.75,6.98,57,7777,,8.94,,,,,,,,,38,9,,,,11.07,2.41,,,,,,2.22,51.03,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Master,2.48,1.38,37.87,17.32,6.89,63,7676,,8.93,,,,,,,,,38,9,,,,10.68,2.32,,,,,,2.22,49.48,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Grandmaster,2.37,1.47,37.31,17.11,7.05,64,7486,,9.20,,,,,,,,,37,9,,,,10.65,2.41,,,,,,2.31,50.05,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Moira,All,5.46,9.94,52.02,17.19,8.31,86,4856,8750,6.70,,,,,,,,,,,,,,,,,,,,,,,,48,7.82,45,68,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Bronze,4.93,13.89,49.09,16.07,7.88,87,4761,8428,7.02,,,,,,,,,,,,,,,,,,,,,,,,47,7.54,44,68,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Silver,5.16,12.50,51.75,16.73,8.07,86,4773,8617,6.76,,,,,,,,,,,,,,,,,,,,,,,,47,7.68,45,69,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Gold,5.47,12.49,52.44,16.91,8.22,88,4866,8849,6.65,,,,,,,,,,,,,,,,,,,,,,,,47,7.69,46,67,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Platinum,5.19,11.75,51.90,16.51,7.94,88,4760,8778,6.78,,,,,,,,,,,,,,,,,,,,,,,,47,7.53,45,67,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Diamond,5.10,13.07,51.17,16.31,7.84,87,4782,8694,6.80,,,,,,,,,,,,,,,,,,,,,,,,47,7.59,45,67,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Master,5.11,13.85,51.38,16.32,7.84,87,4774,8715,6.80,,,,,,,,,,,,,,,,,,,,,,,,47,7.54,45,67,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Grandmaster,5.04,15.43,50.99,16.19,7.83,88,4758,8649,6.84,,,,,,,,,,,,,,,,,,,,,,,,46,7.50,45,68,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Reinhardt,All,3.02,2.51,53.45,16.28,6.69,131,7583,,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3.72,6.43,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Bronze,2.63,3.39,48.32,14.90,6.49,136,7098,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3.64,5.91,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Silver,2.78,3.12,51.07,15.75,6.67,135,7362,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3.72,6.05,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Gold,3.12,2.96,51.96,16.09,6.78,133,7506,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3.80,6.60,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Platinum,2.80,4.55,52.68,15.51,6.55,133,7452,,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3.67,6.43,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Diamond,2.67,3.47,49.02,14.98,6.42,136,7228,,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,3.59,6.08,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Master,2.70,3.61,49.33,15.05,6.51,136,7221,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,3.67,6.10,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Grandmaster,2.70,4.29,49.20,15.07,6.54,136,7214,,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,3.67,6.11,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Widowmaker,All,2.89,1.11,52.38,16.19,3.84,23,5689,,7.80,44,,,,,,,,,,,,,11.27,4.34,,,,,,,,,,,,,,,,,,—,3.63,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Bronze,3.20,0.57,51.34,16.07,4.10,22,5328,,7.39,43,,,,,,,,,,,,,10.71,4.47,,,,,,,,,,,,,,,,,,—,3.77,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Silver,2.92,0.85,53.30,15.70,4.25,24,5462,,7.52,43,,,,,,,,,,,,,10.49,4.28,,,,,,,,,,,,,,,,,,—,3.57,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Gold,2.91,0.83,48.55,16.47,3.94,23,5551,,7.96,43,,,,,,,,,,,,,11.50,4.39,,,,,,,,,,,,,,,,,,—,3.87,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
